,rent_incurred,variable_cost,fixed_cost,cash_flow,interest_payment,change_from_prior_day,new_balance
0,161018.02602843233,155518.02602843233,8000,-2500.0,2525.0,-5025.0,-53025.0
1,229275.0,193225.0,8000,28050.0,1248.75,26801.25,-26223.75
2,148603.31461869512,143103.31461869512,8000,-2500.0,1436.1875,-3936.1875,-30159.9375
3,229275.0,193225.0,8000,28050.0,105.496875,27944.503125,-2215.434375
4,308440.99302661745,248190.99302661745,8000,52250.0,0.0,52250.0,50034.565625
5,246963.5360920482,219213.5360920482,8000,19750.0,0.0,19750.0,69784.565625
