,rent_incurred,variable_cost,fixed_cost,cash_flow,interest_payment,change_from_prior_day,new_balance
0,304262.6722085109,120012.6722085109,45000,139250.0,26037.5,113212.5,-546787.5
1,302401.3064637864,119401.3064637864,45000,138000.0,20439.375,117560.625,-429226.875
2,310475.0,122175.0,45000,143300.0,14296.34375,129003.65625,-300223.21875
3,311725.0,122175.0,45000,144550.0,7783.660937500001,136766.3390625,-163456.8796875
4,320475.0,122175.0,45000,153300.0,507.8439843750006,152792.156015625,-10664.723671875012
5,325053.76420154795,124103.76420154794,45000,155950.0,0.0,155950.0,145285.27632812498
