,rent_incurred,variable_cost,fixed_cost,cash_flow,interest_payment,change_from_prior_day,new_balance
0,210600.0,47600.0,37000,126000.0,23700.0,102300.0,-497700.0
1,244950.0,57725.0,37000,150225.0,17373.75,132851.25,-364848.75
2,214839.3870407637,48239.38704076367,37000,129600.0,11762.4375,117837.5625,-247011.1875
3,244950.0,57725.0,37000,150225.0,4839.309375,145385.690625,-101625.496875
4,257805.55310773756,58880.55310773755,37000,161925.0,0.0,161925.0,60299.503125
5,244650.0,57725.0,37000,149925.0,0.0,149925.0,210224.503125
