,rent_incurred,variable_cost,fixed_cost,cash_flow,interest_payment,change_from_prior_day,new_balance
0,286402.93019787234,248302.9301978723,27000,11100.00000000003,0,11100.00000000003,9100.00000000003
1,284318.84936471947,233143.84936471944,27000,24175.00000000003,0,24175.00000000003,33275.00000000006
2,231993.74906805524,217268.74906805524,27000,-12275.0,0,-12275.0,21000.00000000006
3,275425.0,223300.0,27000,25125.0,0,25125.0,46125.00000000006
4,405225.0,320900.0,27000,57325.0,0,57325.0,103450.00000000006
5,311724.4489594178,271399.4489594178,27000,13325.0,0,13325.0,116775.00000000006
