,rent_incurred,variable_cost,fixed_cost,cash_flow,interest_payment,change_from_prior_day,new_balance
0,331300.0,246750.0,20000,64550.0,12272.5,52277.5,-257722.5
1,404000.0,285100.0,20000,98900.0,7941.125,90958.875,-166763.625
2,329550.0,246750.0,20000,62800.0,5198.181250000001,57601.818750000006,-109161.80625
3,381945.2300783136,263045.2300783136,20000,98900.0,513.0903124999998,98386.9096875,-10774.896562499995
4,476999.59001464373,299899.59001464373,20000,157100.0,0.0,157100.0,146325.10343750002
5,382850.0,285100.0,20000,77750.0,0.0,77750.0,224075.10343750002
